DBA,BUILDING,STREET,BORO,ZIPCODE,OLD,Address,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,Latitude,Longitude
EVA'S x CINCO DE MAYO,11,WEST 8 STREET,Manhattan,10011,11 WEST 8 STREET Manhattan 10011,"11 west 8 street manhattan, ny 10011",Mexican,5/3/22,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,5/3/22,12/4/23,40.7325204,-73.996973
LA ESQUINA,200,WEST 55 STREET,Manhattan,10019,200 WEST 55 STREET Manhattan 10019,"200 west 55th street manhattan, ny 10019",Mexican,9/14/22,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,0,A,9/14/22,12/4/23,40.7642841,-73.98117
FRIDA'S FAVORITES,42,WEST 42 STREET,Manhattan,10036,42 WEST 42 STREET Manhattan 10036,"42 west 42th street manhattan, ny 10036",Mexican,11/28/23,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,10,A,11/28/23,12/4/23,40.7540682,-73.982321
TAQUERIA ST MARKS PL,79,SAINT MARKS PLACE,Manhattan,10003,79 SAINT MARKS PLACE Manhattan 10003,"79 saint marks place manhattan, ny 10003",Mexican,3/8/23,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,12,A,3/8/23,12/4/23,40.7278068,-73.985792
BREAKROOM,83,BAXTER STREET,Manhattan,10013,83 BAXTER STREET Manhattan 10013,"83 baxter street manhattan, ny 10013",Mexican,12/27/22,Violations were cited in the following area(s).,08B,"Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.",Not Critical,26,B,12/27/22,12/4/23,40.7167134,-73.999812
ANTOJITOS CASEROS,231,WEST 39 STREET,Manhattan,10018,231 WEST 39 STREET Manhattan 10018,"231 west 39th street manhattan, ny 10018",Mexican,7/5/22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,7/5/22,12/4/23,40.7545687,-73.989363
ROSA MEXICANO,9,EAST 18 STREET,Manhattan,10003,9 east 18 STREET Manhattan 10003,"9 east 18th street manhattan, ny 10003",Mexican,3/1/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,3/1/22,12/4/23,40.7382347,-73.991152
TAQUERIA GRAMERCY,218,3 AVENUE,Manhattan,10003,218 3 avenue Manhattan 10003,"218 3rd avenue manhattan, ny 10003",Mexican,12/21/22,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,11,A,12/21/22,12/4/23,40.7361838,-73.985083
PATRON MEXICAN GRILL,608,9 AVENUE,Manhattan,10036,608 9 avenue Manhattan 10036,"608 9th avenue manhattan, ny 10036",Mexican,10/7/22,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,11,A,10/7/22,12/4/23,40.7593338,-73.991954
LUPITA RESTAURANT,2049,2 AVENUE,Manhattan,10029,2049 2 avenue Manhattan 10029,"2049 2nd avenue manhattan, ny 10029",Mexican,9/27/22,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,9,A,9/27/22,12/4/23,40.7901681,-73.942774
DOS CAMINOS SOHO,475,WEST BROADWAY,Manhattan,10012,475 WEST BROADWAY Manhattan 10012,"475 west broadway manhattan, ny 10012",Mexican,3/29/23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,13,A,3/29/23,12/4/23,40.7265726,-74.000202
MI CASITA RESTARANT,1484,AMSTERDAM AVENUE,Manhattan,10031,1484 AMSTERDAM avenue Manhattan 10031,"1484 amsterdam avenue manhattan, ny 10031",Mexican,2/7/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,2/7/23,12/4/23,40.8178535,-73.953007
EVA'S x CINCO DE MAYO,43,WEST 55 STREET,Manhattan,10019,43 WEST 55 STREET Manhattan 10019,"43 west 55th street manhattan, ny 10019",Mexican,5/11/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,5/11/23,12/4/23,40.7622795,-73.976363
CHIPOTLE MEXICAN GRILL,165-167,E 116TH ST,Manhattan,10029,165-167 E 116TH ST Manhattan 10029,"165-167 east 116th st manhattan, ny 10029",Mexican,3/16/23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,4,A,3/16/23,12/4/23,40.7983355,-73.940936
IGUANA RESTAURANT,240,WEST 54 STREET,Manhattan,10019,240 WEST 54 STREET Manhattan 10019,"240 west 54th street manhattan, ny 10019",Mexican,3/21/23,Violations were cited in the following area(s).,09E,Wash hands sign not posted near or above hand washing sink.,Not Critical,9,A,3/21/23,12/4/23,40.7642239,-73.982965
345 Cantina,345,EAST 6 STREET,Manhattan,10003,345 east 6 STREET Manhattan 10003,"345 east 6th street manhattan, ny 10003",Mexican,1/21/23,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,22,B,1/21/23,12/4/23,40.7269369,-73.98743
ROSA MEXICANO,251,EAST 52 STREET,Manhattan,10022,251 east 52 STREET Manhattan 10022,"251 east 52nd street manhattan, ny 10022",Mexican,7/13/23,Violations were cited in the following area(s).,08B,"Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.",Not Critical,13,A,7/13/23,12/4/23,40.7565905,-73.968691
WIMPY'S RESTAURANT,2334,2 AVENUE,Manhattan,10035,2334 2 avenue Manhattan 10035,"2334 2nd avenue manhattan, ny 10035",Mexican,2/3/23,Violations were cited in the following area(s).,09A,"Swollen, leaking, rusted or otherwise damaged canned food to be returned to distributor not segregated from intact product and clearly labeled DO NOT USE",Not Critical,13,A,2/3/23,12/4/23,40.7992662,-73.936103
CALIENTE CAB CO,61,7 AVENUE SOUTH,Manhattan,10014,61 7 avenue SOUTH Manhattan 10014,"61 7th avenue south manhattan, ny 10014",Mexican,4/8/22,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5,A,4/8/22,12/4/23,40.7316229,-74.003929
EL MITOTE,208,COLUMBUS AVENUE,Manhattan,10023,208 COLUMBUS avenue Manhattan 10023,"208 columbus avenue manhattan, ny 10023",Mexican,4/18/22,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,4/18/22,12/4/23,40.7757926,-73.979987
LA CONTENTA OESTE,78,WEST 11 STREET,Manhattan,10011,78 WEST 11 STREET Manhattan 10011,"78 west 11th street manhattan, ny 10011",Mexican,3/2/22,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,3/2/22,12/4/23,40.7349743,-73.997326
CAFE HABANA,17,PRINCE STREET,Manhattan,10012,17 PRINCE STREET Manhattan 10012,"17 prince street manhattan, ny 10012",Mexican,12/19/22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,12/19/22,12/4/23,40.7227709,-73.99426
CHIPOTLE MEXICAN GRILL#2964,601,8 AVENUE,Manhattan,10018,601 8 avenue Manhattan 10018,"601 8th avenue manhattan, ny 10018",Mexican,4/27/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,4/27/22,12/4/23,40.7555075,-73.991056
HOMEMADE TAQUERIA,999,COLUMBUS AVENUE,Manhattan,10025,999 COLUMBUS avenue Manhattan 10025,"999 columbus avenue manhattan, ny 10025",Mexican,8/1/22,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,20,B,8/1/22,12/4/23,40.8012564,-73.961392
ROSIE'S,29,EAST 2 STREET,Manhattan,10003,29 east 2 STREET Manhattan 10003,"29 east 2nd street manhattan, ny 10003",Mexican,4/3/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,4/3/23,12/4/23,40.7251641,-73.990944
REFRIED BEANS,591,FORT WASHINGTON AVENUE,Manhattan,10033,591 FORT WASHINGTON avenue Manhattan 10033,"591 fort washington avenue manhattan, ny 10033",Mexican,4/13/23,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,13,A,4/13/23,12/4/23,40.8546638,-73.937036
AGAVE,140,7 AVENUE SOUTH,Manhattan,10014,140 7 avenue SOUTH Manhattan 10014,"140 7th avenue south manhattan, ny 10014",Mexican,3/30/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,22,B,3/30/23,12/4/23,40.7347272,-74.002176
EL CABRON TAQUERIA,23,ESSEX STREET,Manhattan,10002,23 ESSEX STREET Manhattan 10002,"23 essex street manhattan, ny 10002",Mexican,4/25/23,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,11,A,4/25/23,12/4/23,40.7153652,-73.98986
DISFRUTA,510,WEST 207 STREET,Manhattan,10034,510 WEST 207 STREET Manhattan 10034,"510 west 207th street manhattan, ny 10034",Mexican,1/24/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,21,B,1/24/23,12/4/23,40.8647561,-73.919336
DOS TOROS TAQUERIA,285,MADISON AVENUE,Manhattan,10017,285 MADISON avenue Manhattan 10017,"285 madison avenue manhattan, ny 10017",Mexican,4/29/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,11,A,4/29/22,12/4/23,40.7517485,-73.980037
TACO BELL,1501,BROADWAY,Manhattan,10036,1501 BROADWAY Manhattan 10036,"1501 broadway manhattan, ny 10036",Mexican,11/22/23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,11,A,11/22/23,12/4/23,40.7570962,-73.986193
EVA'S x CINCO DE MAYO,43,WEST 55 STREET,Manhattan,10019,43 WEST 55 STREET Manhattan 10019,"43 west 55th street manhattan, ny 10019",Mexican,11/7/22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,13,A,11/7/22,12/4/23,40.7622795,-73.976363
EL CANTINERO,86,UNIVERSITY PLACE,Manhattan,10003,86 UNIVERSITY PLACE Manhattan 10003,"86 university place manhattan, ny 10003",Mexican,2/28/22,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,12,A,2/28/22,12/4/23,40.7335688,-73.993105
LA CONTENTA,102,NORFOLK STREET,Manhattan,10002,102 NORFOLK STREET Manhattan 10002,"102 norfolk street manhattan, ny 10002",Mexican,3/13/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,3/13/23,12/4/23,40.7188124,-73.987125
EL PASO MEXICAN RESTAURANT,123,EAST 110 STREET,Manhattan,10029,123 east 110 STREET Manhattan 10029,"123 east 110th street manhattan, ny 10029",Mexican,11/21/22,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,5,A,11/21/22,12/4/23,40.7951263,-73.945183
MAYAHUEL,304,EAST 6 STREET,Manhattan,10003,304 east 6 STREET Manhattan 10003,"304 east 6th street manhattan, ny 10003",Mexican,8/3/22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,8/3/22,12/4/23,40.7272087,-73.988119
ZONA TRIBECA MEZCALERIA,353,GREENWICH STREET,Manhattan,10013,353 GREENWICH STREET Manhattan 10013,"353 greenwich street manhattan, ny 10013",Mexican,8/31/22,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,0,A,8/31/22,12/4/23,40.7186919,-74.010408
EL CANTINERO,86,UNIVERSITY PLACE,Manhattan,10003,86 UNIVERSITY PLACE Manhattan 10003,"86 university place manhattan, ny 10003",Mexican,2/28/22,Violations were cited in the following area(s).,04O,Live animals other than fish in tank or service animal present in facility's food and/or non-food areas.,Critical,12,A,2/28/22,12/4/23,40.7335688,-73.993105
EL GALLO TAQUERIA,369,BROOME STREET,Manhattan,10013,369 BROOME STREET Manhattan 10013,"369 broome street manhattan, ny 10013",Mexican,1/26/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,10,A,1/26/22,12/4/23,40.7201196,-73.99592
TAQUERIA DIANA,524,9 AVENUE,Manhattan,10018,524 9 avenue Manhattan 10018,"524 9th avenue manhattan, ny 10018",Mexican,2/1/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,10,A,2/1/23,12/4/23,40.7566083,-73.99394
LUPE'S EAST L.A. KITCHEN,110,AVENUE OF THE AMERICAS,Manhattan,10013,110 avenue OF THE AMERICAS Manhattan 10013,"110 avenue of the americas manhattan, ny 10013",Mexican,2/11/22,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,0,A,2/11/22,12/4/23,40.7236795,-74.004719
MEXICUE,225,5 AVENUE,Manhattan,10010,225 5 avenue Manhattan 10010,"225 5th avenue manhattan, ny 10010",Mexican,12/27/22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,27,B,12/27/22,12/4/23,40.74382,-73.987907
TACOS GRAND CENTRAL,711,2 AVENUE,Manhattan,10016,711 2 avenue Manhattan 10016,"711 2nd avenue manhattan, ny 10016",Mexican,6/5/23,Violations were cited in the following area(s).,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical,4,A,6/5/23,12/4/23,40.7474875,-73.973921
LAS PALMAS RESTAURANT,3891,BROADWAY,Manhattan,10032,3891 BROADWAY Manhattan 10032,"3891 broadway manhattan, ny 10032",Mexican,10/18/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,10/18/23,12/4/23,40.8375312,-73.942347
JO'S TACO,226,EAST 14 STREET,Manhattan,10003,226 east 14 STREET Manhattan 10003,"226 east 14th street manhattan, ny 10003",Mexican,8/2/23,Violations were cited in the following area(s).,10A,"Toilet facility not maintained or provided with toilet paper, waste receptacle or self-closing door.",Not Critical,7,A,8/2/23,12/4/23,40.7329616,-73.986437
AGAVE,140,7 AVENUE SOUTH,Manhattan,10014,140 7 avenue SOUTH Manhattan 10014,"140 7th avenue south manhattan, ny 10014",Mexican,3/30/23,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,22,B,3/30/23,12/4/23,40.7347272,-74.002176
RANCHO TEQUILERIA,741,9 AVENUE,Manhattan,10019,741 9 avenue Manhattan 10019,"741 9th avenue manhattan, ny 10019",Mexican,6/16/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,6/16/22,12/4/23,40.7635769,-73.988889
GABRIELA'S COCINA DE MEXICO,100,PEARL STREET,Manhattan,10004,100 PEARL STREET Manhattan 10004,"100 pearl street manhattan, ny 10004",Mexican,4/26/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,4/26/23,12/4/23,40.7042791,-74.009785
MADE IN MEXICO,3950,10 AVENUE,Manhattan,10034,3950 10 avenue Manhattan 10034,"3950 10th avenue manhattan, ny 10034",Mexican,3/10/22,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,11,A,3/10/22,12/4/23,40.8671176,-73.916983
TOLOACHE,166,EAST 82 STREET,Manhattan,10028,166 east 82 STREET Manhattan 10028,"166 east 82nd street manhattan, ny 10028",Mexican,3/10/23,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12,A,3/10/23,12/4/23,40.7765849,-73.956734
EL GALLO TAQUERIA,369,BROOME STREET,Manhattan,10013,369 BROOME STREET Manhattan 10013,"369 broome street manhattan, ny 10013",Mexican,1/24/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,1/24/23,12/4/23,40.7201196,-73.99592
EL KALLEJON BOTANAS,209,EAST 117 STREET,Manhattan,10035,209 east 117 STREET Manhattan 10035,"209 east 117th street manhattan, ny 10035",Mexican,7/5/22,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,13,A,7/5/22,12/4/23,40.7984306,-73.939051
DOS TOROS,119,WEST 40 STREET,Manhattan,10018,119 WEST 40 STREET Manhattan 10018,"119 west 40th street manhattan, ny 10018",Mexican,3/23/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,9,A,3/23/22,12/4/23,40.7539699,-73.986028
BISTRO CASA AZUL,343,PLEASANT AVENUE,Manhattan,10035,343 PLEASANT avenue Manhattan 10035,"343 pleasant avenue manhattan, ny 10035",Mexican,1/25/23,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,12,A,1/25/23,12/4/23,40.7964944,-73.932111
SAN LOCO,111,STANTON STREET,Manhattan,10002,111 STANTON STREET Manhattan 10002,"111 stanton street manhattan, ny 10002",Mexican,7/27/22,Violations were cited in the following area(s).,02H,"After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2 hours, and from 70 °F to 41 °F or less within 4 additional hours.",Critical,0,A,7/27/22,12/4/23,40.7210933,-73.987366
ARRIBA ARRIBA,762,9 AVENUE,Manhattan,10019,762 9 avenue Manhattan 10019,"762 9th avenue manhattan, ny 10019",Mexican,8/2/22,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,21,B,8/2/22,12/4/23,40.7641972,-73.988416
MEZCALI,83,MAIDEN LANE,Manhattan,10038,83 MAIDEN LANE Manhattan 10038,"83 maiden lane manhattan, ny 10038",Mexican,6/7/23,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,9,A,6/7/23,12/4/23,40.7074358,-74.007607
LA PALAPA,77,ST MARKS PLACE,Manhattan,10003,77 ST MARKS PLACE Manhattan 10003,"77 saint marks place manhattan, ny 10003",Mexican,5/30/23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,9,A,5/30/23,12/4/23,40.727837,-73.985864
TACUBA,802,9 AVENUE,Manhattan,10019,802 9 avenue Manhattan 10019,"802 9 avenue manhattan, ny 10019",Mexican,6/14/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,6/14/23,12/4/23,40.7654954,-73.987466
EVA'S x CINCO DE MAYO,43,WEST 55 STREET,Manhattan,10019,43 WEST 55 STREET Manhattan 10019,"43 west 55th street manhattan, ny 10019",Mexican,11/7/22,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,13,A,11/7/22,12/4/23,40.7622795,-73.976363
ZONA TRIBECA MEZCALERIA,353,GREENWICH STREET,Manhattan,10013,353 GREENWICH STREET Manhattan 10013,"353 greenwich street manhattan, ny 10013",Mexican,3/7/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,3/7/23,12/4/23,40.7186919,-74.010408
CRIOLLAS BAKED EMPANADAS,1000S,8 AVENUE,Manhattan,10019,1000S 8 avenue Manhattan 10019,"1000s 8th avenue manhattan, ny 10019",Mexican,3/13/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,3/13/23,12/4/23,40.7668122,-73.982809
EL GALLO TAQUERIA,369,BROOME STREET,Manhattan,10013,369 BROOME STREET Manhattan 10013,"369 broome street manhattan, ny 10013",Mexican,1/24/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,1/24/23,12/4/23,40.7201196,-73.99592
LA ESQUINA,200,WEST 55 STREET,Manhattan,10019,200 WEST 55 STREET Manhattan 10019,"200 west 55th street manhattan, ny 10019",Mexican,9/14/22,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,0,A,9/14/22,12/4/23,40.7642841,-73.98117
TACOMBI,139,EAST 12 STREET,Manhattan,10003,139 east 12 STREET Manhattan 10003,"139 east 12th street manhattan, ny 10003",Mexican,9/19/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,12,A,9/19/23,12/4/23,40.7322015,-73.98871
EMPELLON,230,WEST 4 STREET,Manhattan,10014,230 WEST 4 STREET Manhattan 10014,"230 west 4th street manhattan, ny 10014",Mexican,9/27/22,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,9,A,9/27/22,12/4/23,40.7341124,-74.002941
TACO ZONE,1750,1 AVENUE,Manhattan,10128,1750 1 avenue Manhattan 10128,"1750 1st avenue manhattan, ny 10128",Mexican,8/22/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,25,B,8/22/23,12/4/23,40.7798335,-73.947199
FACTORY TAMAL,34,LUDLOW STREET,Manhattan,10002,34 LUDLOW STREET Manhattan 10002,"34 ludlow street manhattan, ny 10002",Mexican,6/6/23,Violations were cited in the following area(s).,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,8,A,6/6/23,12/4/23,40.7159389,-73.990469
BREAKROOM,83,BAXTER STREET,Manhattan,10013,83 BAXTER STREET Manhattan 10013,"83 baxter street manhattan, ny 10013",Mexican,12/27/22,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,26,B,12/27/22,12/4/23,40.7167134,-73.999812
DOS CAMINOS SOHO,475,WEST BROADWAY,Manhattan,10012,475 WEST BROADWAY Manhattan 10012,"475 west broadway manhattan, ny 10012",Mexican,3/29/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,13,A,3/29/23,12/4/23,40.7265726,-74.000202
FACTORY TAMAL,34,LUDLOW STREET,Manhattan,10002,34 LUDLOW STREET Manhattan 10002,"34 ludlow street manhattan, ny 10002",Mexican,5/4/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,5/4/22,12/4/23,40.7159389,-73.990469
DOS TOROS,10,EAST 48 STREET,Manhattan,10017,10 east 48 STREET Manhattan 10017,"10 east 48th street manhattan, ny 10017",Mexican,9/20/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9,A,9/20/23,12/4/23,40.7570125,-73.977502
