DBA,BUILDING,STREET,BORO,ZIPCODE,OLD,Address,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,Latitude,Longitude
BAR TULIX,25,WEST HOUSTON STREET,Manhattan,10012,25 WEST HOUSTON STREET Manhattan 10012,"25 west houston street manhattan, ny 10012",Mexican,1/24/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,19,B,1/24/23,12/4/23,40.7259248,-73.997904
LA LOTERIA,29,7 AVENUE SOUTH,Manhattan,10014,29 7 avenue SOUTH Manhattan 10014,"29 7th avenue south manhattan, ny 10014",Mexican,4/12/23,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,12,A,4/12/23,12/4/23,40.7308049,-74.004395
CHINELOS II DELI-GROCERY RESTAURANT,530,WEST 136 STREET,Manhattan,10031,530 WEST 136 STREET Manhattan 10031,"530 west 136th street manhattan, ny 10031",Mexican,2/8/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,23,B,2/8/23,12/4/23,40.8201317,-73.953103
EL KALLEJON BOTANAS,209,EAST 117 STREET,Manhattan,10035,209 east 117 STREET Manhattan 10035,"209 east 117th street manhattan, ny 10035",Mexican,7/5/22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,13,A,7/5/22,12/4/23,40.7984306,-73.939051
REFRIED BEANS,591,FORT WASHINGTON AVENUE,Manhattan,10033,591 FORT WASHINGTON avenue Manhattan 10033,"591 fort washington avenue manhattan, ny 10033",Mexican,4/13/23,Violations were cited in the following area(s).,09A,"Swollen, leaking, rusted or otherwise damaged canned food to be returned to distributor not segregated from intact product and clearly labeled DO NOT USE",Not Critical,13,A,4/13/23,12/4/23,40.8546638,-73.937036
MEXICUE,160,8 AVENUE,Manhattan,10011,160 8 avenue Manhattan 10011,"160 8th avenue manhattan,, ny 10011",Mexican,6/16/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,6/16/22,12/4/23,40.7421546,-74.000758
SAN LOCO,111,STANTON STREET,Manhattan,10002,111 STANTON STREET Manhattan 10002,"111 stanton street manhattan, ny 10002",Mexican,7/27/22,Violations were cited in the following area(s).,03A,"Food, prohibited, from unapproved or unknown source, home canned or home prepared. Animal slaughtered, butchered or dressed (eviscerated, skinned) in establishment. Reduced Oxygen Packaged (ROP) fish not frozen before processing. ROP food prepared on premises transported to another site.",Critical,0,A,7/27/22,12/4/23,40.7210933,-73.987366
TAQUERIA DIANA,129,2 AVENUE,Manhattan,10003,129 2 avenue Manhattan 10003,"129 2nd avenue manhattan, ny 10003",Mexican,2/21/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,9,A,2/21/23,12/4/23,40.7284274,-73.987801
TACUBA,802,9 AVENUE,Manhattan,10019,802 9 avenue Manhattan 10019,"802 9th avenue manhattan, ny 10019",Mexican,6/14/23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,13,A,6/14/23,12/4/23,40.7654954,-73.987466
LA PALAPA,77,ST MARKS PLACE,Manhattan,10003,77 ST MARKS PLACE Manhattan 10003,"77 street marks place manhattan, ny 10003",Mexican,4/19/22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,4/19/22,12/4/23,40.727837,-73.985864
